service_id,date,exception_type
1-Saturday-1-DEC16-0000010,20170114,1
1-Saturday-1-DEC16-0000010,20170121,1
1-Saturday-1-DEC16-0000010,20170128,1
1-Saturday-1-DEC16-0000010,20170204,1
1-Saturday-1-DEC16-0000010,20170211,1
1-Sunday-1-DEC16-0000001,20170115,1
1-Sunday-1-DEC16-0000001,20170122,1
1-Sunday-1-DEC16-0000001,20170129,1
1-Sunday-1-DEC16-0000001,20170205,1
1-Weekday-1-DEC16-1111100,20170111,1
1-Weekday-1-DEC16-1111100,20170112,1
1-Weekday-1-DEC16-1111100,20170113,1
1-Weekday-1-DEC16-1111100,20170116,1
1-Weekday-1-DEC16-1111100,20170117,1
1-Weekday-1-DEC16-1111100,20170118,1
1-Weekday-1-DEC16-1111100,20170119,1
1-Weekday-1-DEC16-1111100,20170120,1
1-Weekday-1-DEC16-1111100,20170123,1
1-Weekday-1-DEC16-1111100,20170124,1
1-Weekday-1-DEC16-1111100,20170125,1
1-Weekday-1-DEC16-1111100,20170126,1
1-Weekday-1-DEC16-1111100,20170127,1
1-Weekday-1-DEC16-1111100,20170130,1
1-Weekday-1-DEC16-1111100,20170131,1
1-Weekday-1-DEC16-1111100,20170201,1
1-Weekday-1-DEC16-1111100,20170202,1
1-Weekday-1-DEC16-1111100,20170203,1
1-Weekday-1-DEC16-1111100,20170206,1
1-Weekday-1-DEC16-1111100,20170207,1
1-Weekday-1-DEC16-1111100,20170208,1
1-Weekday-1-DEC16-1111100,20170209,1
1-Weekday-1-DEC16-1111100,20170210,1
10-Saturday-1-DEC16-0000010,20170114,1
10-Saturday-1-DEC16-0000010,20170121,1
10-Saturday-1-DEC16-0000010,20170128,1
10-Saturday-1-DEC16-0000010,20170204,1
10-Saturday-1-DEC16-0000010,20170211,1
10-Sunday-1-DEC16-0000001,20170115,1
10-Sunday-1-DEC16-0000001,20170122,1
10-Sunday-1-DEC16-0000001,20170129,1
10-Sunday-1-DEC16-0000001,20170205,1
10-Weekday-1-DEC16-1111100,20170111,1
10-Weekday-1-DEC16-1111100,20170112,1
10-Weekday-1-DEC16-1111100,20170113,1
10-Weekday-1-DEC16-1111100,20170116,1
10-Weekday-1-DEC16-1111100,20170117,1
10-Weekday-1-DEC16-1111100,20170118,1
10-Weekday-1-DEC16-1111100,20170119,1
10-Weekday-1-DEC16-1111100,20170120,1
10-Weekday-1-DEC16-1111100,20170123,1
10-Weekday-1-DEC16-1111100,20170124,1
10-Weekday-1-DEC16-1111100,20170125,1
10-Weekday-1-DEC16-1111100,20170126,1
10-Weekday-1-DEC16-1111100,20170127,1
10-Weekday-1-DEC16-1111100,20170130,1
10-Weekday-1-DEC16-1111100,20170131,1
10-Weekday-1-DEC16-1111100,20170201,1
10-Weekday-1-DEC16-1111100,20170202,1
10-Weekday-1-DEC16-1111100,20170203,1
10-Weekday-1-DEC16-1111100,20170206,1
10-Weekday-1-DEC16-1111100,20170207,1
10-Weekday-1-DEC16-1111100,20170208,1
10-Weekday-1-DEC16-1111100,20170209,1
10-Weekday-1-DEC16-1111100,20170210,1
100-Saturday-1-DEC16-0000010,20170114,1
100-Saturday-1-DEC16-0000010,20170121,1
100-Saturday-1-DEC16-0000010,20170128,1
100-Saturday-1-DEC16-0000010,20170204,1
100-Saturday-1-DEC16-0000010,20170211,1
100-Sunday-1-DEC16-0000001,20170115,1
100-Sunday-1-DEC16-0000001,20170122,1
100-Sunday-1-DEC16-0000001,20170129,1
100-Sunday-1-DEC16-0000001,20170205,1
100-Weekday-1-DEC16-1111100,20170111,1
100-Weekday-1-DEC16-1111100,20170112,1
100-Weekday-1-DEC16-1111100,20170113,1
100-Weekday-1-DEC16-1111100,20170116,1
100-Weekday-1-DEC16-1111100,20170117,1
100-Weekday-1-DEC16-1111100,20170118,1
100-Weekday-1-DEC16-1111100,20170119,1
100-Weekday-1-DEC16-1111100,20170120,1
100-Weekday-1-DEC16-1111100,20170123,1
100-Weekday-1-DEC16-1111100,20170124,1
100-Weekday-1-DEC16-1111100,20170125,1
100-Weekday-1-DEC16-1111100,20170126,1
100-Weekday-1-DEC16-1111100,20170127,1
100-Weekday-1-DEC16-1111100,20170130,1
100-Weekday-1-DEC16-1111100,20170131,1
100-Weekday-1-DEC16-1111100,20170201,1
100-Weekday-1-DEC16-1111100,20170202,1
100-Weekday-1-DEC16-1111100,20170203,1
100-Weekday-1-DEC16-1111100,20170206,1
100-Weekday-1-DEC16-1111100,20170207,1
100-Weekday-1-DEC16-1111100,20170208,1
100-Weekday-1-DEC16-1111100,20170209,1
100-Weekday-1-DEC16-1111100,20170210,1
101-Saturday-1-DEC16-0000010,20170114,1
101-Saturday-1-DEC16-0000010,20170121,1
101-Saturday-1-DEC16-0000010,20170128,1
101-Saturday-1-DEC16-0000010,20170204,1
101-Saturday-1-DEC16-0000010,20170211,1
101-Sunday-1-DEC16-0000001,20170115,1
101-Sunday-1-DEC16-0000001,20170122,1
101-Sunday-1-DEC16-0000001,20170129,1
101-Sunday-1-DEC16-0000001,20170205,1
101-Weekday-1-DEC16-1111100,20170111,1
101-Weekday-1-DEC16-1111100,20170112,1
101-Weekday-1-DEC16-1111100,20170113,1
101-Weekday-1-DEC16-1111100,20170116,1
101-Weekday-1-DEC16-1111100,20170117,1
101-Weekday-1-DEC16-1111100,20170118,1
101-Weekday-1-DEC16-1111100,20170119,1
101-Weekday-1-DEC16-1111100,20170120,1
101-Weekday-1-DEC16-1111100,20170123,1
101-Weekday-1-DEC16-1111100,20170124,1
101-Weekday-1-DEC16-1111100,20170125,1
101-Weekday-1-DEC16-1111100,20170126,1
101-Weekday-1-DEC16-1111100,20170127,1
101-Weekday-1-DEC16-1111100,20170130,1
101-Weekday-1-DEC16-1111100,20170131,1
101-Weekday-1-DEC16-1111100,20170201,1
101-Weekday-1-DEC16-1111100,20170202,1
101-Weekday-1-DEC16-1111100,20170203,1
101-Weekday-1-DEC16-1111100,20170206,1
101-Weekday-1-DEC16-1111100,20170207,1
101-Weekday-1-DEC16-1111100,20170208,1
101-Weekday-1-DEC16-1111100,20170209,1
101-Weekday-1-DEC16-1111100,20170210,1
102-Saturday-1-DEC16-0000010,20170114,1
102-Saturday-1-DEC16-0000010,20170121,1
102-Saturday-1-DEC16-0000010,20170128,1
102-Saturday-1-DEC16-0000010,20170204,1
102-Saturday-1-DEC16-0000010,20170211,1
102-Sunday-1-DEC16-0000001,20170115,1
102-Sunday-1-DEC16-0000001,20170122,1
102-Sunday-1-DEC16-0000001,20170129,1
102-Sunday-1-DEC16-0000001,20170205,1
102-Weekday-1-DEC16-1111100,20170111,1
102-Weekday-1-DEC16-1111100,20170112,1
102-Weekday-1-DEC16-1111100,20170113,1
102-Weekday-1-DEC16-1111100,20170116,1
102-Weekday-1-DEC16-1111100,20170117,1
102-Weekday-1-DEC16-1111100,20170118,1
102-Weekday-1-DEC16-1111100,20170119,1
102-Weekday-1-DEC16-1111100,20170120,1
102-Weekday-1-DEC16-1111100,20170123,1
102-Weekday-1-DEC16-1111100,20170124,1
102-Weekday-1-DEC16-1111100,20170125,1
102-Weekday-1-DEC16-1111100,20170126,1
102-Weekday-1-DEC16-1111100,20170127,1
102-Weekday-1-DEC16-1111100,20170130,1
102-Weekday-1-DEC16-1111100,20170131,1
102-Weekday-1-DEC16-1111100,20170201,1
102-Weekday-1-DEC16-1111100,20170202,1
